label,definition,comment,exactSynonym,broadSynonym,narrowSynonym,relatedSynonym,subsetType,uri
mudslide,,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000695
rockfall,,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000693
coastal flood,A coastal flood is a flood which is formed as a result of large amounts of water from marine water bodies or large lakes being transported to usually dry land by displacement processes such as high winds or seismic activity.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000711
grass fire,"A fire which occurs in a grassland, combusting biomass stored in grasses as its primary fuel.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_03000131
pasture fire,A fire which occurs in a pastureland.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001291
industrial fire,A fire which occurs in an industrial area or building.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001287
land fire,"A fire which occurs on land, typically consuming a terrestrial ecosystem as fuel.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001292
flash flood,"A flash flood is a flood formed by the rapid flooding of geomorphic low-lying areas. It may be caused by heavy rain associated with a severe thunderstorm, hurricane, tropical storm, or meltwater from ice or snow flowing over ice sheets or snowfields. Flash floods may also occur after the collapse of a natural ice or debris dam, or a human structure such as a man-made dam. Flash floods are distinguished from a regular flood by a timescale of less than six hours.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000713
flooding,"A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters, and/or the unusual and rapid accumulation or runoff of surface waters from any source. A great flow along a watercourse or a flow causing inundation of lands not normally covered by water.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_02500002
drought,"A hydrological precipitation process with a reduced rate relative to some historical average, typically resulting in ecosystemic perturbations.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_1000745
lahar,"A lahar is a type of mudflow or debris flow composed of a slurry of pyroclastic material, rocky debris, and water. The material flows down from a volcano, typically along a river valley.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000699
polluted lake,A lake which has concentrations of environmental contaminants high enough to harm the ecosystems associated with it.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000680
brush fire,A land fire which consumes low-growing plants such as scrub and brush.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001289
lava flow,"A lava flow is a moving outpouring of lava, which is created during a non-explosive effusive eruption.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000438
lightning flash,A lightning process during which electrostatic discharge occurs within a single cloud or between multiple clouds.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000902
debris flow,"A mass wasting flow during which water-laden masses of soil and fragmented rock rush down the slopes of elevations, funnel into stream channels, entrain objects in their paths, and form thick, muddy deposits on valley floors.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000698
megathrust earthquake,"A megathrust earthquake is a tectonic earthquake which occurs at subduction zones at destructive plate boundaries (convergent boundaries). These interplate earthquakes are the planet's most powerful, with moment magnitudes that can exceed 9.0.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000679
urban pollution,A pollution process that results in increased levels of pollutants in an urban environment.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_02500044
water flow process,A process during which a volume of water is transported due to a disequilibria in physical forces.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000982
lava flow process,A process in which a volume of lava emitted during an effusive eruption moves along a solid surface.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000730
gamma-ray radiation,A radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_21001218
riverine flood,A riverine flood is a flood which is formed as a result of a river's flow rate exceeding the capacity of its channel.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000712
storm surge,"A storm surge is a coastal flood which is caused by low-pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000714
storm surge process,"A storm surge process is a coastal flooding process which is caused by low pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000716
volcanic eruption,"A volcanic eruption is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000634
forest fire,"A wildfire which occurs in a forest, primarily consuming vegetation as fuel.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000791
ash fall process,"An ash fall process is a process in which volcanic ash formed during an explosive volcanic eruption, phreatomagmatic eruption, or during material transport in pyroclastic density currents is pulled towards the planetary surface by gravity.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000702
atmospheric storm,An atmospheric storm is a process in which a portion of an astronomical body's atmosphere is strongly perturbed from its prevaling weather.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000877
tectonic earthquake,"An earthquake caused by the sudden release of energy accumulated in an astronomical body's crust, as the elastic strain placed on constituent rock masses causes them to fracture.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000678
effusive eruption,An effusive eruption is a volcanic eruption during which lava flows onto the ground.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000656
explosive eruption,"An explosive eruption is a volcanic process in which pressurised magma is violently expelled and froths into volcanic ash. Explosive eruptions can eject a cloud of rocks, dust, gas, and pyroclastic material  which may then collapse, creating a pyroclastic flow of hot volcanic matter.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000655
flood,"An unusual accumulation of water above the ground caused by high tide, heavy rain, melting snow or rapid runoff from paved areas.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000710
areal flooding,"Areal flooding is a flooding process in which flat or low-lying areas become inundated with water due to water input exceeding infiltration, evaporation, or run off.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000717
coastal flooding,"Coastal flooding is a process in which normally dry, low-lying land near a coast is flooded by sea water.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000707
riverine flooding,"Riverine flooding is a process in which the flow rate of river water exceeds the capacity of its channel, thus flooding neighbouring land. Bends and meanders in a river channel are particularly disposed to such flooding.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000708
urban flooding,"Urban flooding is a flooding process in which land or property in a built environment, particularly in more densely populated areas, is inundated due to the rate of water input exceeding that of water drainage provided by the environment's drainage systems.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000718
bush fire,A land fire which occurs in a large uncleared or sparsely settled area (as in Australia) usually scrub-covered or forested.,"""Bush"" is a rather loosely defined regional term, primarily used in Australia.",,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001290
flash flooding,Flash flooding is a process in which low-lying land is inundated with water for a short period of time and are usually the result of precipitation or a breach in the container of a water body.,Flash floods generally last no more than six hours. http://www.srh.noaa.gov/mrx/hydro/flooddef.php,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000709
storm,"A storm is an environmental process in which an environmental system and the processes it participates in are strongly perturbed by external forcings. These forcings typically increase the rates of processes unfolding in the system, relative to their normal rates.","The threshold of what constitutes ""strong"" perturbation is not defined here due to considerable semantic variation. If a specific threshold is required, please request a new term.",,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000876
geological subsidence,A material transport process during which a geological surface shifts downward relative to a datum such as sea-level.,,,subsidence,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000694
intracloud lightning,A lightning process during which electrostatic discharge occurs within a single cloud.,,IC lightning,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000900
ultraviolet radiation,A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths between 10 nm and 400 nm.,,UV radiation,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_21001216
X-ray radiation,A radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy.,,X ray radiation,,,X-ray,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_21001217
active geological fault,"An active fault is a fault that is likely to become the source of another earthquake sometime in the future. Geologists commonly consider faults to be active if there has been movement observed or evidence of seismic activity during the last 10,000 years.",,active fault,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000669
intercloud lightning,A lightning process during which electrostatic discharge occurs between at least two clouds.,,cloud-cloud lightning|CC lightning,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000899
lightning strike,"A lightning process during which electrostatic discharge occurs between a cloud and an object on a planetary surface, or a planetary surface itself.",,cloud-ground lightning|CG lightning,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000901
rubbish landslide,"A mass wasting process during which refuse from human activities, usually accumulated at a dumping site, falls down a slope under the force of gravity.","""At least 48 people have been killed in a landslide at a vast rubbish dump on the outskirts of Ethiopia's capital Addis Ababa, officials say...Hundreds of people attempt to make a living by scavenging at the landfill site, sifting through the rubbish for items they can sell, the BBC's Emmanuel Igunza in Addis Ababa reports"" BBC Africa reports",garbage landslide|trash landslide|refuse landslide,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000916
landslide process,A landslide is a process whereby a large mass of earth and rocks moves down a hill or a mountainside.,,landslip,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000692
atmospheric lightning,A sudden electrostatic discharge which occurs during an electrical storm as differentially charged atmospheric entities equalise their charge.,,lightning,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000898
thunderstorm,An atmospheric storm which occurs in cumulonimbus clouds and during which lightning and thunder occur.,"Thunderstorms may or may not involve processes which result in strong winds, heavy rain, snow, sleet, hail, or other forms of precipitation.",lightning storm|electrical storm,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000878
extra-tropical cyclone,"A warm-core cyclone which occurs in the middle and high latitudes, primarily drawing energy from horizontal temperature contrasts between atmospheric fronts.","""When associated with cold fronts, extratropical cyclones may be particularly damaging (e.g. European winter/windstorm, Nor’easter).""",mid-latitude cyclone,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001295
mudflow,A mudflow is a form of mass wasting which involves very rapid to extremely rapid surging flow of debris that has become partially or fully liquified by the addition of significant amounts of water to clay-rich source material.,"""Mudflows are often called mudslides, a term applied indiscriminately by the mass media to a variety of mass wasting events. Mudflows often start as slides, becoming flows as water is entrained along the flow path; such events are often called flow slides."" https://en.wikipedia.org/wiki/Mudflow",mud flow,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000697
environmental pollution,An environmental system process that results in the introduction of contaminants into an environment.,Pollutants may be material or immaterial (e.g. heat energy),pollution,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_02500036
earthquake,"An earthquake is a process during which energy is released in an astronomical body's crust, causing the displacement of crustal parts and the generation of seismic waves.","Elastic strain, gravity, chemical reactions, or even the motion of massive bodies can produce earthquakes.",quake,,,tremor|temblor,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000677
meteotsunami,A meteotsunami is a tsunami caused by atmospheric processes and differences in air pressure.,,rissaga,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000715
rockslide process,A rockslide is a process whereby a large mass of rock moves down a hill or a mountainside.,,rockslip,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001108
tsunami,"A tsunami is a process during which a series of waves is generated in a water body, typically an ocean or large lake, by the displacement of a large volume of water. Earthquakes, volcanic eruptions and other underwater explosions (including detonations of underwater nuclear devices), landslides, glacier calvings, meteorite impacts and other disturbances above or below water all have the potential to generate a tsunami.",,tidal wave|seismic sea wave,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000689
warm core cyclone,A cyclone which rotates around an area low atmospheric pressure with increased temperature.,"The threshold of  what is ""warm"" is variable, and thus data-level thresholding should be applied when using this class.",warm-core cyclone,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001298
wildfire,"A conflagration which is uncontrolled and combusts material in a vegetated area, be it rural or wild.","The definition of ""wildland"" or ""wild"" is ambiguous.",wildland fire,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000787
radiation from a manufactured product,An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a manufactured product.,,artificial radiation,anthropogenic radiation,,,environmental_hazards|envoAstro,http://purl.obolibrary.org/obo/ENVO_01001501
permafrost methane explosion,An explosion during which methane-rich gas trapped in permafrost combusts.,,,,,,environmental_hazards|envoPolar,http://purl.obolibrary.org/obo/ENVO_03000091
freezing rainfall,"Rainfall which occurs when the temperature of a planetary surface and its surrounding atmosphere are below the freezing point of water, resulting in supercooled raindrops which freeze upon impact with solid surfaces.",,,freezing rain|freezing rain fall,,,environmental_hazards|envoPolar,http://purl.obolibrary.org/obo/ENVO_01000896
icestorm,An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces.,The U.S. National Weather Service defines an ice storm as a storm which results in the accumulation of at least 0.25-inch (6.4 mm) of ice on exposed surfaces.,glaze event|silver thaw,,,,environmental_hazards|envoPolar|envoAtmo,http://purl.obolibrary.org/obo/ENVO_01000882
galaxy,"A galaxy is a gravitationally bound system of stars, stellar remnants, interstellar gas, dust, and dark matter.",,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000807
mesoplanet,A planet which is smaller than Mercury but larger than Ceres.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001152
atmospheric escape,A process during which gases that constitute a planetary atmosphere escape that planet's gravitational field and move away into outer space.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001157
gravitational motion,A process during which one or more entities move along geodesics in a region of spacetime that has been sufficiently curved towards an entity with sufficient mass and/or energy.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001130
mega-Earth,A terrestrial exoplanet which is at least ten times the mass of Earth.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001133
photosphere,"An astronomical body part which is composed of those parts of a star, distal from the star's core, from which light is radiated into space.",,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000821
meteoroid,An astronomical body which is composed of rocky or metallic materials and is considerably smaller than asteroids.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001068
protoplanetary disk,"An astronomical object which is composed of dense gas and dust rotating around a young newly formed star, a T Tauri star, or a Herbig Ae/Be star in a disk-shaped configuration.",,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001150
hydrodynamic escape,An atmospheric escape process during which atoms that are parts of a planetary atmosphere escape into outer space through numerous collisions with lighter atoms in that atmosphere.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001158
nebula,"An interstellar cloud of dust, hydrogen, helium and other ionized gases",,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000806
ammonia ice,Ice which is primarily composed of ammonia.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001140
carbon monoxide ice,Ice which is primarily composed of carbon monoxide.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001141
methane ice,Ice which is primarily composed of methane.,,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001139
minor planet,"A minor planet is an astronomical object in direct orbit around the Sun that is neither a planet nor exclusively classified as a comet. Minor planets can be dwarf planets, asteroids, trojans, centaurs, Kuiper belt objects, and other trans-Neptunian objects.","""Before 2006, the IAU had officially used the term minor planet. During its 2006 meeting, the IAU reclassified minor planets and comets into dwarf planets and small Solar System bodies (SSSB). Objects are called dwarf planets if their self-gravity is sufficient to achieve hydrostatic equilibrium and form an ellipsoidal shape. All other minor planets and comets are called small Solar System bodies. The IAU stated that the term minor planet may still be used, but the term small Solar System body will be preferred. However, for purposes of numbering and naming, the traditional distinction between minor planet and comet is still used.""",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000809
helium planet,A gas planet which has an atmosphere composed primarily of helium.,A helium planet might form via hydrogen evaporation from a gaseous planet orbiting close to a star. Low-mass white dwarfs may transition into objects which are essentially helium planets by hydrogen depletion through mass transfer to a massive object such as a neutron star.  Gliese 436 b is a candidate helium planet.,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001147
circumbinary planet,A planet which orbits two stars.,"Because of the short orbits of some binary stars, the only way for planets to form is by forming outside the orbit of the two stars.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001153
dwarf planet,"An astronomical body which is in direct orbit of a star and is massive enough for its own gravity to compress it into a shape preserved by hydrostatic equilibrium (usually a spheroid), but which shares its orbit with other bodies, such as asteroids or comets.",Considerable debate on this definition exists.,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000808
super-Jupiter,An astronomical object which is more massive than the planet Jupiter.,"Due to their immense size, super-Jupiter class objects straddle the space between planets and other objects such as brown dwarfs. While they may be more massive than Jupiter, super-Jupiters tend to be the same approximate size, with increasing density as their mass increases up to about 80 Jupiter masses.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001129
gas planet,A planet which is primarily composed of hydrogen and helium.,Gas giants are composed of about 90% hydrogen and helium. Jupiter and Saturn are examples of gas giants.,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001122
planetesimal,"An astronomical body which 1) is held together by its own gravity, 2)  can attract other, similar bodies through mutual gravitational influence, and 3) has orbital dynamics that are not significantly affected by gas drag.","In the Solar nebula, planetesimals are usually larger than approximately 1 kilometer.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001148
sub-Earth,"A terrestrial planet which has a mass smaller than Earth's, such that 1) it lacks a magnetic field strong enough to shield its atmosphere from erosion by stellar wind and 2) it has comparatively short periods of geological activity unless it is subject to gravitational tidal forces from a much more massive object.","The first sub-Earths were discovered by the Kepler Orbiting Observatory space telescope on 2012-01-10, orbiting the star Kepler-42. As of June 2014, Kepler has 45 confirmed planets that are smaller than Earth, with 17 of them being smaller than 0.8 Earth radii. In addition, there are over 310 planet candidates with an estimated radius of less than 1 Earth radius, with 135 of them being smaller than 0.8 Earth radii.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001144
technosphere,"A part of an astronomical body which includes, as parts, all the entities which have been constructed or manufactured by humans or their technology and which are within the gravitational sphere of influence of that body.",The gravitational sphere of influence referenced in this class' definition is the Hill sphere: a region in which an object dominates the attraction of satellites despite gravitational perturbations.,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000983
acoustic radiation,A radiation process during which mechanical waves generated by oscillations radiate through an environmental material.,The mechanical waves generated by this process are also referred to as pressure waves.,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001027
dwarf gas planet,"A gas planet which 1) is considerably smaller than a gas giant and 2) has a rocky core around which a thick envelope primarily composed of hydrogen, helium, and smaller proportions of volatiles.","The physical make-up of gas dwarfs limit their size, which gravitate towards a total radius between 1.7 and 3.9 Earth-radii.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001123
super-Earth,"A terrestrial planet which has a mass higher than Earth's, but substantially below the masses of Uranus and Neptune (15 and 17 Earth masses, respectively).","The upper bound of a super-Earth's mass is generally agreed on as 10 Earth masses. In general, super-Earths are defined exclusively by their masses, and the term does not imply temperatures, compositions, orbital properties, habitability, or environments.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001134
globular star cluster,A group of gravitationally bound stars.,"There is a need to account for open star clusters which are not gravitationally bound. This would need a superclass other than 'astronomical object', as currently defined.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000805
asteroid,,This class is hard to define and is sometimes treated as equivalent to 'minor planet'.,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000803
lava planet,"A planet which has a surface layer that nearly completely or completely covered by lava, and which has a substantial portion of its mass composed of lava.","This class of planets is still mostly theoretical, however, lava planets are thought plausible shortly after a terrestrial planet is formed, soon after a terrestrial planet has suffered a large collision event, or if a terrestrial planet is orbiting very close to its star, causing intense irradiation and tidal forces.  Likely lava exoplanets include COROT-7b, Kepler-10b, Alpha Centauri Bb, and Kepler-78b.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001143
pedosphere,"An astronomical body part which is composed of soil, subject to soil formation processes, and found on the surface of a lithosphere.","This is a very broad and, in practice, poorly defined term. Please consider using or requesting a more specific class.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000820
photoevaporation,A process during which energetic radiation ionises gas and causes it to disperse away from the ionising source.,This process is responsible for the stripping away of gases from the atmosphere of planets and related bodies by acceleration on interaction with high energy photons and other electromagnetic radiation.,,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001146
ice giant,"A giant planet which is primarily composed of elements heavier than hydrogen and helium, volatile chemical compounds with freezing points above about 100 Kelvin.","Uranus and Neptune are considered ice giants, a separate class relative to the gas giants, Jupiter and Saturn. Ice giants consist of only about 20% hydrogen and helium in mass.  A large portion of the mass in an ice giant was incorporated by the capture of ice (as defined in planetary science) or as gas trapped in water ice.",,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001127
astronomical body,"An object which is naturally occuring, bound together by gravitational or electromagnetic forces, and surrounded by space.","Astronomical bodies are usually cohesive, thus the use of the term 'object' sensu BFO 'object'.",,,,celestial body,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000799
astronomical object,An object which is composed of one or more gravitationally bound structures that are associated with a position in space.,"If there is only one astronomical body involved, this class is equivalent to ENVO:01000799. This may be problematic with reasoning, but it seems to be true to the rather fuzzy definitions found thus far.",,,,celestial object,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000804
carbon dioxide ice,Ice which is primarily composed of carbon dioxide.,,,,,dry ice,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001138
astrogeological gas,An astrogeological volatile which is composed primarily of chemical compounds with boiling points around those of hydrogen and helium.,This is a term native to the fields of planetary science and astrophysics.  Hydrogen has a boiling point of 20.271 Kelvin and a melting point of 13.99 Kelvin. Helium has a boiling point of 4.222 Kelvin and a melting point of 0.95 Kelvin.,,,,gas,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001155
astrogeological ice,An astrogeological volatile which is composed primarily of chemical compounds with freezing points above an approximate threshold of 100 Kelvin.,"This is a term native to the fields of planetary science and astrophysics.  Water, ammonia, and methane are considered ""ices"" with freezing points of 273 K, 195 K, and 91 K, respectively.",,,,ice,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001126
refractory astrogeological material,A material which is composed primarily of chemical elements and compounds which have equilibrium condensation temperatures above approximately 1300 Kelvin and which are part of the crust or atmosphere of a moon or planet.,The refractory group includes elements and compounds like metals and silicates (commonly termed rocks) which make up the bulk of the mass of the terrestrial planets and asteroids in the inner belt.,,,,refractory material,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001156
mini-Neptune,"A gas planet which has an atmosphere composed of hydrogen and helium  - probably with deep layers of ice, rock or liquid oceans (made of water, ammonia, a mixture of both, or heavier volatiles) - and a small core made of low-density volatiles.","These planets have a mass up to 10 Earth masses, notably smaller than Uranus or Neptune, which are about 14.5 and 17 Earth masses, respectively.",,,,transitional planet,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001128
volatile astrogeological material,"A material which is composed primarily of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and which are part of the crust or atmosphere of a moon or planet.","Examples include nitrogen, water, carbon dioxide, ammonia, hydrogen, methane and sulfur dioxide. In astrogeology, these compounds, in their solid state, often comprise large proportions of the crusts of moons and dwarf planets.",,,,volatile,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001154
planetary moon,An astronomical body which orbits a planet of comparatively greater mass.,"At times, a moon is equated to a natural satellite, however, the latter class includes a broader range of entities. Here, we currently separate moons from other satellites. We can create a logical definition of satellite using an orbital process class.",,moon,,natural satellite,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000802
outer space,"Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.",,,space,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01000637
ocean planet,"A planet which has a surface layer that nearly completely or completely covered by water, and which has a substantial portion of its mass composed of water.","While this planetary form is still mostly theoretical, strong candidates exist such as the extrasolar planet GJ 1214 b and ocean planet candidate Kepler-22b.",aquaplanet|panthalassic planet|water world,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001136
iron planet,A planet which in primarily composed of an iron-rich core with little to no mantle,"Mercury is the largest iron planet in the Solar System, the other terrestrial planets being composed of silicate rocks. Some extrasolar planet candidates that may be composed mainly of iron are KOI-1843 b,[5] Kepler-70b and Kepler-10b.",cannonball planet,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001142
ice planet,"A planet which has a surface layer that nearly completely or completely covered by ice, and which has a substantial portion of its mass composed of ice.","While this planetary form is still mostly theoretical, strong candidates exist such as OGLE-2005-BLG-390Lb, OGLE-2013-BLG-0341L b and MOA-2007-BLG-192Lb. Pluto was considered an ice planet until its reclassification in 2006 CE.  Surface temperatures of ice planets would have to be below 260 K (−13°C) if composed primarily of water, below 180 K (−93°C) if primarily composed of CO2 and ammonia, and below 80 K (−193°C) if composed primarily of methane.",cryoplanet,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001137
chthonian planet,"A planet which is formed as a result of a gas giant's hydrogen and helium atmosphere, as well as its outer layers, being stripped away by a stellar wind through photoevaporation and hydrodynamic escape.","This class is largely theoretical, however, some likely candidates exist. HD 209458 b and Gliese 436b are examples of a gas giants that are in the process of having their atmospheres stripped away. COROT-7b is the first exoplanet found that might be chthonian.",cthonian planet,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001145
desert planet,A terrestrial planet which has a surface dominated by hot deserts.,This class of planet is still mostly theoretical.,dry planet,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001135
giant gas planet,A gas planet which has mass and size comparable to Jupiter and Saturn.,,gas giant,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001124
hot Neptune,A gas planet which has a mass similar to that of Neptune or Uranus and which closely orbits its star (normally at a distance less than 1 Astronomical Unit).,,hoptune,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001132
infrared stellar radiation,"A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star when molecules change their rotational-vibrational movements, usually at wavelengths between 760 nm and 1 mm.",,infra-red stellar radiation,infrared radiation,infrared solar radiation,IR stellar radiation,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001214
ionizing stellar radiation,A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star with sufficient energy to disrupt molecular bonds or alter the electron number of atoms.,,ionising stellar radiation,,ionising solar radiation,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001219
proplyd,A protoplanetary disk which is externally illuminated and undergoing photoevaporation.,,ionized protoplanetary disk,,,,envoAstro,http://purl.obolibrary.org/obo/ENVO_01001151
