label,definition,comment,exactSynonym,broadSynonym,narrowSynonym,relatedSynonym,subsetType,uri
glacial ice ablation zone,An ablation zone which is part of a glacier.,"This class is more fully defined as: ""The part of the glacier, usually at lower elevations, where ablation exceeds accumulation in magnitude, that is, where the cumulative mass balance relative to the start of the mass-balance year is negative. Unless qualified, for example by giving a date within the year, references to the ablation zone refer to its extent at the end of the mass-balance year. The extent of the ablation zone can vary strongly from year to year. A synonym of ablation area."" - GCW Terminology and Vocabulary Assessment Report 2018”, GCW report #23/2018",glacial ice ablation area|glacial ablation area|area of glacial ablation,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000037
glacial plucking,Glacial plucking is an erosional process during which pieces of bedrock are cracked off due to the mechanical force of a moving glacier.,,glacial quarrying,quarrying,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000683
glacial abrasion,"A glacial abrasion process is an erosional process during which debris in the basal ice scrapes along the bed, polishing and gouging the underlying rocks, similar to sandpaper on wood.",,glacial scouring,scouring|abrasion,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000682
glacial ice calving process,A process during which a part of a glacier breaks away from the main mass.,Calving is usually caused by the expansion of glaciers.,glacier calving,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000030
ice tongue,A long and narrow sheet of ice projecting out from the coastline. An ice tongue forms when a valley glacier moves very rapidly out into the ocean or a lake.,,glacier tongue,,,glacial tongue,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000392
glaciation,An interval of time within an ice age and during which temperatures fall resulting in planet-wide glacier advances.,"Note that there has been long debate over the usage of this term, leading to some of the ambiguity resolved across the various classes featuring 'glaciation' as a label or synonym in ENVO. For example, see https://www.cambridge.org/core/journals/journal-of-glaciology/article/glacierization/354F9D3447C4AE8159D984B235114DE6/core-reader",glacierisation|glacial period,glacial,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01001641
hanging valley,A tributary valley with the floor at a higher relief than the main channel into which it flows. They are most commonly associated with U-shaped valleys when a tributary glacier flows into a glacier of larger volume.,,hanging valley,valley,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000184
pingo,"A mound of earth-covered ice found in the Arctic, subarctic, and Antarctica that can reach up to 70 metres in height and up to 2 kilometres in diameter.","Pingos may occur in cold-climate wetland areas, but are not necessarily wetlands themselves.",hydrolaccolith|pingos,mount,,bulginniakh|bugor,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000413
ice floe,A cohesive and contiguous sheet of water ice which floats upon the surface of a water body.,"Ice floes can exist in sea ice, in rivers or lakes. The WMO offers the following extent-based classification. Floe giant: Over 10 km across.
Floe vast: 2-10 km across. Floe big: 500-2000 m across. Floe medium: 100-500 m across. Floe small: 20-100 m across. Ice cake: Less than 20 m across. Small ice cake: Less than 2 m across.",ice floes,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000065
ice lens,"An ice mass which is formed when moisture, diffused within soil or rock, accumulates and freezes in a localized zone, wedging soil or rock apart.",,ice lenses,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000279
ice loss process,A material decumulation process during which the mass of an existing ice mass decreases in size.,,ice loss,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000915
icemelt,Icemelt is a hydrological melthing process in which water is produced by the melting of ice and becomes part of the hydrological surface runoff.,,ice melt,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000721
glacial ice thrusting,Glacial ice thrusting is an erosional process during which a moving glacier which has frozen to its bed surges forward and moves large sheets of sediment frozen to the glacial mass.,,ice thrusting,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000684
hair ice,"A type of water ice that forms on dead wood with the assistance of the fungus Exidiopsis effusa and takes the shape of fine, silky hair.",,ice wool|frost beard,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000847
icefall,"A portion of a glacier characterized by rapid flow, a chaotic crevassed surface, and a pronounced, at times vertical, slope.",Icefalls may be formed as glaciers flow through narrow openings in landmasses.,ice-fall|ice fall,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000307
iceberg calving process,A process during which a part of a glacier breaks away from the main mass as an iceberg.,Calving is usually caused by the expansion of glaciers.,iceberg calving,,,glacier calving,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000031
ice cap,"A dome-shaped ice mass that covers less than 50,000 km2 of land area (usually covering a highland area).",,icecap,,,ice field,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000145
ice cap depression,A depression which is part of an ice cap.,,icecap depression,,,icecap depression,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000531
ice cap dome,A comparatively elevated area on an icecap.,,icecap dome,ice mass,icecap dome,,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000342
ice cap ridge,A linear elevation on an icecap.,,icecap reach,ridge,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000528
interglacial,An interval of time within an ice age and during which temperatures rise and result in planet-wide glacier retreat.,,interglacial period,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01001642
intraglacial lake,A lake which is comprised of meltwater located underneath or within a glacier.,,intraglacial lakes,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000053
geographic feature,,"This class is being depopulated and will be filled only with inferred subclasses. Please do not use this for direct annotation, favouring instead a more descriptive subclass.",macroscopic spatial feature,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000000
brine pool,"MERGED DEFINITION:
TARGET DEFINITION: A large area of brine on the ocean basin near cold seep vents which release methane into the water. These pools are concentrations of water having an extremely high salinity as compared to the surrounding ocean, caused by the motion of large salt deposits through salt tectonics.
--------------------
SOURCE DEFINITION: Marine brine pools are large areas of brine on the ocean basin. These pools are bodies of water that have a salinity three to five times greater than the surrounding ocean. For deep-sea brine pools the source of the salt is the dissolution of large salt deposits through salt tectonics. The brine often contains high concentrations of methane, providing energy to chemosynthetic animals that live near the pool.",,marine brine pool,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000369
marine sediment,"Sediment which has been transported through the marine water column, settling on the seafloor.","Particles of marine sediment are primarily generated by 1) processes in terrestrial systems and transported to the marine realm by the action of rivers or aeolian processes (amongst other routes) , 2) marine organisms, 3) chemical processes in seawater, or 4) cosmogeneous input.",marine sediments,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000033
